,arima_forecast,sarima_forecast,rfr_forecast,knn_forecast
d_1914,6399.0,5798.0,6180.0,6272.0
d_1915,5622.0,5399.0,5285.0,5323.0
d_1916,5625.0,5185.0,5380.0,5538.0
d_1917,5264.0,5152.0,5350.0,5305.0
d_1918,5695.0,5737.0,6081.0,6332.0
d_1919,7221.0,7255.0,7664.0,7889.0
d_1920,7631.0,7944.0,7326.0,7119.0
d_1921,6370.0,6287.0,6495.0,6391.0
d_1922,5645.0,5944.0,6154.0,6094.0
d_1923,5603.0,5617.0,5920.0,5808.0
d_1924,5279.0,5793.0,5743.0,5738.0
d_1925,5678.0,6323.0,6229.0,6228.0
d_1926,7225.0,7757.0,7299.0,7266.0
d_1927,7604.0,8242.0,8192.0,8100.0
d_1928,6385.0,6595.0,6768.0,6641.0
d_1929,5636.0,6047.0,6158.0,6021.0
d_1930,5612.0,5774.0,5572.0,5615.0
d_1931,5265.0,5599.0,5385.0,5605.0
d_1932,5688.0,5859.0,6091.0,6021.0
d_1933,7203.0,7464.0,7187.0,7135.0
d_1934,7602.0,8011.0,7644.0,7780.0
d_1935,6376.0,6210.0,6479.0,6277.0
d_1936,5649.0,5635.0,5748.0,5589.0
d_1937,5599.0,5271.0,5491.0,5425.0
d_1938,5271.0,5228.0,5401.0,5466.0
d_1939,5680.0,5666.0,5428.0,5630.0
d_1940,7199.0,7135.0,6541.0,6788.0
d_1941,7583.0,7779.0,7894.0,8066.0
